Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,351.0,786.0,882.0,1120.0,1423.0,1882.0,2063.0,2065.0,2404.0,2747.0,3568.0,3708.0,3875.0,4347.0,5018.0,6028.0,6423.0,7075.0,7578.0,7931.0,8723.0,9707.0,10975.0,12505.0,15861.0,24955.0,31651.0,34615.0,35592.0,36732.0,37868.0,37753.0,38027.0,40901.0,42661.0,46965.0,50714.0,55247.0,59084.0,60407.0,62180.0,67214.0,72589.0,88029.0,95210.0,88163.0,86914.0,89769.0,104957.0,119450.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,375.0,838.0,821.0,912.0,1224.0,1434.0,1675.0,1926.0,1822.0,2267.0,2198.0,2893.0,3133.0,3427.0,4196.0,5034.0,5360.0,5872.0,6383.0,6693.0,7240.0,8066.0,8737.0,9764.0,10801.0,11590.0,12290.0,14843.0,18079.0,20068.0,21003.0,21843.0,23647.0,25877.0,28244.0,30358.0,33662.0,34978.0,37666.0,43348.0,46648.0,49975.0,50085.0,45407.0,46547.0,55699.0,62893.0,65943.0,64145.0,65686.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,465.0,932.0,1389.0,1813.0,2053.0,2606.0,2657.0,2350.0,2634.0,3136.0,3214.0,3169.0,3318.0,3415.0,3481.0,3370.0,3714.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,324.0,645.0,958.0,1246.0,1411.0,1779.0,1809.0,1600.0,1800.0,2152.0,2223.0,2182.0,2289.0,2355.0,2400.0,2353.0,2785.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,141.0,287.0,432.0,568.0,641.0,827.0,848.0,750.0,834.0,984.0,991.0,986.0,1029.0,1060.0,1081.0,1017.0,929.0
         Department of Defense,543.0,559.0,533.0,542.0,508.0,519.0,684.0,869.0,988.0,1020.0,1067.0,1182.0,1325.0,1519.0,1708.0,1797.0,1852.0,2000.0,2220.0,2517.0,2819.0,3275.0,3694.0,3887.0,4200.0,4917.0,5441.0,5828.0,6034.0,6310.0,7053.0,7815.0,7847.0,8173.0,7855.0,7963.0,7629.0,7616.0,7578.0,7434.0,7640.0,8046.0,8995.0,10418.0,11440.0,12051.0,12922.0,13800.0,14313.0,15730.0,16645.0,17178.0,16811.0,16296.0,16130.0,15154.0
         Department of Veterans Affairs,821.0,853.0,879.0,930.0,969.0,1018.0,1035.0,1125.0,1181.0,1304.0,1532.0,1752.0,2015.0,2328.0,2544.0,2947.0,3528.0,3643.0,4243.0,4431.0,4997.0,5436.0,5951.0,6290.0,6886.0,7100.0,7414.0,7780.0,8109.0,8595.0,9274.0,9983.0,10586.0,11361.0,12129.0,12181.0,12528.0,12194.0,12608.0,13361.0,14289.0,15507.0,16462.0,18829.0,19563.0,20828.0,22571.0,22707.0,25947.0,29291.0,31661.0,33032.0,34279.0,36869.0,40717.0,44476.0
     Other Third Party Payers and Programs,2574.0,2807.0,2967.0,3290.0,3445.0,3725.0,3710.0,3538.0,4050.0,4576.0,5299.0,5743.0,6376.0,6934.0,7904.0,8652.0,9674.0,10366.0,11599.0,12970.0,15041.0,17300.0,19052.0,19725.0,20035.0,21850.0,25147.0,27455.0,30379.0,30629.0,32370.0,34128.0,35080.0,36101.0,37228.0,36784.0,37572.0,39787.0,42381.0,43254.0,43883.0,44839.0,46749.0,52138.0,54400.0,57277.0,63226.0,69282.0,65768.0,72240.0,80464.0,81304.0,90591.0,95393.0,96010.0,94883.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,110.0,134.0,157.0,189.0,224.0,261.0,314.0,392.0,509.0,639.0,880.0,1013.0,1176.0,1149.0,1299.0,1421.0,2307.0,2443.0,2942.0,3369.0,5054.0,6052.0,6929.0,7255.0,7299.0,8231.0,8991.0,9598.0,11210.0,10551.0,10283.0,11025.0,11483.0,12033.0,12758.0,14103.0,15484.0,17859.0,19811.0,20952.0,21569.0,20206.0,20910.0,24235.0,25064.0,26787.0,31548.0,36051.0,30697.0,36647.0,42901.0,43552.0,52355.0,56405.0,57964.0,55799.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,162.0,193.0,229.0,241.0,237.0,273.0,273.0,318.0,364.0,404.0,399.0,421.0,445.0,432.0,527.0,631.0,750.0,764.0,765.0,842.0,828.0,877.0,854.0,878.0,945.0,1038.0,1046.0,1139.0,1206.0,1221.0,1274.0,1290.0,1363.0,1565.0,1762.0,1789.0,1866.0,1828.0,1875.0,1910.0
         Workers' Compensation,152.0,161.0,173.0,184.0,198.0,210.0,240.0,255.0,348.0,486.0,525.0,565.0,634.0,743.0,897.0,1048.0,1238.0,1386.0,1566.0,1842.0,2068.0,2325.0,2692.0,2945.0,3241.0,3637.0,4092.0,4605.0,5225.0,6096.0,6870.0,7608.0,8244.0,8340.0,7717.0,7431.0,7368.0,7547.0,7896.0,8486.0,8803.0,9685.0,10214.0,10900.0,11122.0,11399.0,11605.0,11957.0,13237.0,13262.0,13888.0,14641.0,15422.0,15607.0,15762.0,16035.0
         General Assistance,81.0,88.0,82.0,83.0,91.0,100.0,142.0,180.0,211.0,254.0,296.0,339.0,414.0,491.0,589.0,727.0,817.0,926.0,974.0,1093.0,1301.0,1536.0,1704.0,1833.0,1945.0,2104.0,2140.0,2141.0,2171.0,2487.0,3171.0,3367.0,3596.0,3100.0,3308.0,3091.0,3061.0,2836.0,2616.0,1641.0,1481.0,1928.0,1875.0,1730.0,1819.0,1730.0,1936.0,2160.0,2371.0,2124.0,2244.0,2433.0,2591.0,3033.0,3211.0,3242.0
         Maternal/Child Health,19.0,29.0,29.0,30.0,30.0,34.0,42.0,45.0,53.0,63.0,59.0,65.0,69.0,67.0,76.0,82.0,89.0,94.0,100.0,111.0,124.0,127.0,135.0,139.0,135.0,151.0,160.0,169.0,169.0,173.0,176.0,201.0,222.0,228.0,235.0,232.0,233.0,243.0,238.0,246.0,256.0,265.0,274.0,282.0,283.0,285.0,283.0,320.0,355.0,338.0,336.0,319.0,304.0,320.0,323.0,321.0
                          Federal  ,5.0,9.0,9.0,9.0,10.0,14.0,19.0,23.0,26.0,30.0,23.0,29.0,36.0,31.0,38.0,43.0,46.0,48.0,51.0,52.0,53.0,53.0,54.0,57.0,47.0,53.0,50.0,52.0,53.0,54.0,53.0,58.0,63.0,62.0,62.0,59.0,56.0,54.0,53.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,52.0,53.0,53.0
                          State and Local,14.0,20.0,20.0,21.0,20.0,20.0,23.0,22.0,27.0,33.0,36.0,36.0,33.0,35.0,38.0,40.0,43.0,46.0,49.0,58.0,71.0,74.0,81.0,82.0,88.0,99.0,111.0,117.0,117.0,119.0,123.0,143.0,160.0,166.0,173.0,173.0,178.0,188.0,185.0,193.0,202.0,211.0,218.0,226.0,227.0,229.0,228.0,265.0,300.0,283.0,281.0,265.0,250.0,268.0,269.0,268.0
         Vocational Rehabilitation,7.0,8.0,10.0,13.0,15.0,19.0,26.0,46.0,64.0,72.0,82.0,94.0,97.0,103.0,100.0,99.0,92.0,96.0,92.0,91.0,89.0,96.0,96.0,93.0,90.0,86.0,84.0,83.0,82.0,83.0,90.0,90.0,83.0,74.0,86.0,82.0,73.0,70.0,72.0,82.0,107.0,120.0,122.0,124.0,120.0,116.0,131.0,118.0,108.0,118.0,133.0,130.0,118.0,113.0,106.0,113.0
                          Federal  ,4.0,5.0,6.0,8.0,9.0,13.0,19.0,34.0,48.0,55.0,64.0,73.0,76.0,80.0,78.0,77.0,71.0,75.0,71.0,70.0,68.0,73.0,72.0,70.0,69.0,66.0,65.0,65.0,64.0,64.0,70.0,70.0,66.0,56.0,65.0,63.0,55.0,52.0,55.0,61.0,80.0,92.0,94.0,95.0,93.0,89.0,99.0,89.0,82.0,90.0,104.0,103.0,91.0,88.0,81.0,87.0
                          State and Local,3.0,3.0,4.0,5.0,6.0,7.0,7.0,12.0,16.0,17.0,18.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,24.0,24.0,23.0,21.0,20.0,19.0,18.0,18.0,19.0,20.0,20.0,17.0,18.0,20.0,19.0,18.0,17.0,17.0,21.0,27.0,29.0,28.0,29.0,27.0,27.0,31.0,29.0,25.0,28.0,29.0,28.0,26.0,25.0,24.0,26.0
         Other Federal Programs*,178.0,225.0,295.0,342.0,351.0,370.0,263.0,192.0,199.0,221.0,322.0,426.0,430.0,428.0,439.0,283.0,341.0,359.0,389.0,418.0,412.0,398.0,348.0,146.0,172.0,177.0,182.0,195.0,203.0,221.0,244.0,276.0,299.0,315.0,303.0,303.0,337.0,337.0,377.0,451.0,637.0,1012.0,1117.0,1156.0,1209.0,1220.0,1281.0,1282.0,1277.0,1342.0,1331.0,1719.0,2385.0,2312.0,1514.0,1423.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,74.0,76.0,85.0,78.0,91.0,83.0,62.0,54.0,51.0,40.0,38.0,43.0,56.0,43.0,81.0,165.0,126.0,86.0,86.0,86.0,121.0,129.0,165.0,186.0,174.0,182.0,185.0,178.0,172.0,163.0,162.0,162.0,162.0,167.0,158.0,145.0,175.0,166.0,176.0,175.0
         Other State and Local Programs**,2027.0,2162.0,2220.0,2448.0,2537.0,2731.0,2683.0,2429.0,2665.0,2841.0,3135.0,3242.0,3556.0,3953.0,4504.0,4785.0,4553.0,4793.0,5220.0,5728.0,5664.0,6410.0,6813.0,6942.0,6738.0,7020.0,9061.0,10199.0,10817.0,10543.0,10928.0,10767.0,10277.0,11159.0,11970.0,10615.0,10067.0,9890.0,10352.0,10331.0,9910.0,10401.0,11006.0,12393.0,13405.0,14356.0,15008.0,15941.0,16200.0,16678.0,17710.0,16576.0,15375.0,15609.0,15080.0,15866.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,1981.0,4849.0,5811.0,6842.0,8006.0,9236.0,10275.0,11527.0,13614.0,16516.0,19668.0,22789.0,25647.0,29421.0,35492.0,42583.0,48444.0,53936.0,59376.0,63268.0,66785.0,71268.0,76049.0,84431.0,94066.0,109867.0,127008.0,140982.0,153550.0,165086.0,173411.0,178989.0,179968.0,188346.0,195209.0,213760.0,229720.0,243163.0,262077.0,282806.0,295853.0,312903.0,331279.0,351086.0,364676.0,375558.0,391613.0,405426.0,425227.0,445847.0
Total Physician and Clinical Expenditures,5551.0,5814.0,6261.0,7074.0,8109.0,8587.0,9309.0,10448.0,11344.0,12716.0,14331.0,15917.0,17706.0,19559.0,22215.0,25309.0,28672.0,33112.0,35833.0,41192.0,47717.0,55619.0,61635.0,68643.0,77413.0,90856.0,100667.0,112800.0,128416.0,142937.0,158392.0,175750.0,190156.0,201417.0,210479.0,220303.0,228423.0,239143.0,256929.0,270034.0,288745.0,313323.0,338353.0,365102.0,390299.0,414050.0,435759.0,458562.0,482925.0,498724.0,513144.0,536395.0,558024.0,569542.0,597137.0,634919.0
     Out of pocket,3305.0,3395.0,3594.0,4027.0,4637.0,4879.0,4843.0,4831.0,5131.0,5775.0,6462.0,6883.0,7376.0,7805.0,8458.0,9092.0,10102.0,11387.0,11644.0,12913.0,14220.0,16159.0,17366.0,18642.0,20724.0,24268.0,26981.0,27953.0,29459.0,29753.0,29915.0,30517.0,30027.0,28999.0,27274.0,25654.0,26236.0,27545.0,29407.0,30322.0,32008.0,33502.0,35164.0,37317.0,39039.0,41827.0,43491.0,45554.0,46946.0,45456.0,48556.0,51345.0,51735.0,53318.0,54038.0,56618.0
     Health Insurance,1837.0,1966.0,2174.0,2518.0,2892.0,3068.0,3791.0,4907.0,5484.0,6207.0,6991.0,8026.0,9183.0,10399.0,12126.0,13976.0,16090.0,18853.0,20779.0,24191.0,28516.0,33526.0,37695.0,42483.0,47804.0,55755.0,61065.0,70113.0,81887.0,94140.0,107415.0,122118.0,134709.0,145663.0,155688.0,165764.0,172296.0,180126.0,191095.0,202459.0,220608.0,241934.0,264404.0,286356.0,306789.0,326416.0,344265.0,362074.0,383010.0,401241.0,410416.0,430272.0,446689.0,457821.0,483369.0,514733.0
          Private Health Insurance,1593.0,1691.0,1849.0,2138.0,2539.0,2754.0,2816.0,2892.0,3161.0,3659.0,4209.0,4775.0,5436.0,6099.0,6995.0,7944.0,9311.0,11055.0,12050.0,14216.0,16625.0,19523.0,21671.0,24019.0,27556.0,33285.0,35387.0,40749.0,49822.0,57926.0,66617.0,77312.0,86150.0,93857.0,99250.0,104659.0,108044.0,111691.0,119359.0,125472.0,135877.0,148842.0,162704.0,176738.0,186414.0,198550.0,206721.0,216343.0,224854.0,228772.0,230247.0,240257.0,248043.0,249165.0,255581.0,272269.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,443.0,1226.0,1457.0,1570.0,1643.0,1855.0,2027.0,2271.0,2854.0,3467.0,4100.0,4980.0,5872.0,6871.0,8315.0,9838.0,11757.0,13860.0,15401.0,17010.0,19460.0,22514.0,24426.0,27703.0,30460.0,32021.0,33700.0,35320.0,38798.0,42262.0,44649.0,47663.0,50240.0,53823.0,58729.0,63727.0,68041.0,73536.0,80551.0,85587.0,91356.0,95963.0,103803.0,112008.0,115758.0,122204.0,128104.0,132064.0,137923.0,144310.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,141.0,348.0,429.0,519.0,649.0,846.0,1093.0,1353.0,1539.0,1783.0,1822.0,1897.0,1991.0,2153.0,2432.0,2839.0,2793.0,3092.0,3190.0,3521.0,4028.0,4477.0,4913.0,5600.0,7026.0,9113.0,11152.0,12683.0,13695.0,14788.0,15241.0,16309.0,16766.0,17477.0,19294.0,21431.0,24022.0,25185.0,27986.0,30072.0,31778.0,33524.0,35912.0,40164.0,43258.0,45184.0,46972.0,52012.0,63600.0,69697.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,68.0,169.0,223.0,286.0,349.0,481.0,594.0,706.0,873.0,976.0,1041.0,1075.0,1103.0,1215.0,1366.0,1603.0,1582.0,1761.0,1798.0,1977.0,2280.0,2540.0,2847.0,3272.0,4119.0,5305.0,6678.0,7658.0,8073.0,8628.0,8954.0,9489.0,9814.0,10229.0,11377.0,12680.0,14193.0,15560.0,17147.0,17977.0,18911.0,19793.0,22155.0,27753.0,30146.0,28632.0,28626.0,32390.0,44012.0,48858.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,73.0,180.0,207.0,233.0,300.0,365.0,499.0,647.0,666.0,807.0,780.0,822.0,888.0,937.0,1066.0,1235.0,1211.0,1331.0,1392.0,1544.0,1748.0,1937.0,2065.0,2327.0,2907.0,3808.0,4474.0,5025.0,5622.0,6160.0,6287.0,6820.0,6951.0,7248.0,7917.0,8751.0,9829.0,9626.0,10839.0,12095.0,12867.0,13731.0,13757.0,12411.0,13113.0,16553.0,18346.0,19622.0,19587.0,20839.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,494.0,731.0,1001.0,1192.0,1435.0,1604.0,1653.0,2518.0,2638.0,2746.0,2973.0,3064.0,3046.0,3202.0,3534.0,3186.0,3402.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,338.0,506.0,702.0,840.0,1015.0,1125.0,1158.0,1717.0,1823.0,1906.0,2070.0,2121.0,2117.0,2224.0,2459.0,2226.0,2572.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,155.0,225.0,299.0,351.0,421.0,479.0,494.0,801.0,815.0,840.0,903.0,943.0,929.0,979.0,1076.0,959.0,830.0
         Department of Defense,218.0,248.0,298.0,352.0,324.0,284.0,359.0,408.0,403.0,420.0,448.0,502.0,568.0,605.0,659.0,681.0,728.0,798.0,717.0,797.0,971.0,1131.0,1250.0,1264.0,1389.0,1662.0,1872.0,2019.0,2351.0,2530.0,2893.0,3201.0,3198.0,3229.0,3303.0,3357.0,3552.0,3582.0,3687.0,4102.0,4671.0,5400.0,6689.0,7283.0,7848.0,8052.0,9191.0,10222.0,11390.0,12023.0,12310.0,13211.0,13801.0,13830.0,15155.0,15117.0
         Department of Veterans Affairs,25.0,27.0,27.0,28.0,29.0,30.0,31.0,32.0,34.0,39.0,41.0,48.0,59.0,70.0,80.0,100.0,129.0,123.0,148.0,154.0,173.0,195.0,224.0,248.0,268.0,277.0,318.0,354.0,376.0,382.0,419.0,471.0,510.0,574.0,642.0,698.0,810.0,881.0,988.0,1092.0,1307.0,1534.0,1757.0,2179.0,2386.0,2503.0,2700.0,3383.0,4305.0,5302.0,5779.0,6369.0,6567.0,7217.0,7924.0,9938.0
     Other Third Party Payers and Programs,409.0,452.0,493.0,529.0,579.0,641.0,675.0,709.0,730.0,733.0,878.0,1008.0,1147.0,1355.0,1631.0,2241.0,2480.0,2872.0,3409.0,4088.0,4981.0,5935.0,6574.0,7518.0,8884.0,10834.0,12620.0,14734.0,17070.0,19044.0,21062.0,23114.0,25420.0,26755.0,27517.0,28885.0,29891.0,31472.0,36426.0,37253.0,36129.0,37887.0,38785.0,41429.0,44471.0,45806.0,48004.0,50933.0,52969.0,52026.0,54173.0,54778.0,59599.0,58403.0,59731.0,63567.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,73.0,78.0,84.0,93.0,106.0,128.0,150.0,156.0,176.0,199.0,225.0,255.0,302.0,359.0,428.0,514.0,626.0,786.0,1061.0,1434.0,1848.0,2487.0,3009.0,3594.0,4534.0,5781.0,6880.0,8144.0,9409.0,10586.0,11306.0,12411.0,13781.0,14895.0,16174.0,17574.0,18822.0,20089.0,24345.0,24366.0,22466.0,22695.0,22973.0,24540.0,27362.0,28487.0,30896.0,33202.0,34286.0,33709.0,35548.0,34930.0,38954.0,37851.0,38734.0,41615.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,56.0,65.0,79.0,99.0,130.0,149.0,143.0,144.0,168.0,191.0,195.0,214.0,232.0,227.0,277.0,334.0,398.0,409.0,411.0,457.0,450.0,484.0,481.0,495.0,537.0,591.0,595.0,645.0,679.0,680.0,701.0,709.0,748.0,841.0,946.0,960.0,992.0,968.0,1001.0,1022.0
         Workers' Compensation,252.0,267.0,288.0,305.0,328.0,348.0,393.0,443.0,424.0,370.0,454.0,486.0,530.0,634.0,747.0,853.0,985.0,1127.0,1222.0,1448.0,1612.0,1806.0,2032.0,2274.0,2652.0,3289.0,3853.0,4504.0,5346.0,6355.0,7175.0,8011.0,8689.0,8803.0,8183.0,7994.0,7980.0,8292.0,8966.0,9652.0,10132.0,11196.0,11621.0,12367.0,12425.0,12546.0,12265.0,12561.0,13232.0,12608.0,12689.0,13166.0,13380.0,13145.0,12970.0,13345.0
         General Assistance,9.0,10.0,9.0,9.0,9.0,9.0,19.0,24.0,32.0,41.0,51.0,62.0,79.0,99.0,123.0,152.0,176.0,202.0,224.0,245.0,313.0,354.0,380.0,422.0,473.0,524.0,604.0,665.0,712.0,610.0,625.0,576.0,645.0,656.0,613.0,633.0,625.0,638.0,625.0,464.0,469.0,504.0,498.0,607.0,623.0,638.0,696.0,790.0,917.0,993.0,979.0,984.0,977.0,871.0,954.0,803.0
         Maternal/Child Health,4.0,7.0,8.0,10.0,11.0,14.0,20.0,25.0,31.0,38.0,33.0,38.0,43.0,40.0,46.0,51.0,55.0,58.0,62.0,66.0,72.0,72.0,74.0,79.0,76.0,94.0,100.0,109.0,114.0,120.0,120.0,136.0,150.0,153.0,157.0,155.0,155.0,161.0,162.0,168.0,175.0,181.0,185.0,190.0,189.0,187.0,182.0,199.0,216.0,200.0,196.0,189.0,178.0,183.0,186.0,186.0
                          Federal  ,2.0,3.0,4.0,4.0,5.0,8.0,13.0,18.0,22.0,26.0,20.0,26.0,32.0,27.0,33.0,37.0,40.0,42.0,45.0,46.0,47.0,46.0,46.0,50.0,43.0,53.0,52.0,57.0,60.0,63.0,62.0,68.0,74.0,73.0,74.0,71.0,68.0,67.0,67.0,69.0,69.0,70.0,72.0,72.0,72.0,70.0,68.0,68.0,67.0,65.0,64.0,64.0,62.0,60.0,61.0,61.0
                          State and Local,2.0,3.0,4.0,5.0,6.0,6.0,7.0,7.0,9.0,12.0,12.0,13.0,12.0,13.0,13.0,14.0,15.0,16.0,17.0,21.0,25.0,26.0,28.0,29.0,33.0,41.0,47.0,52.0,54.0,56.0,58.0,68.0,76.0,79.0,83.0,85.0,87.0,94.0,95.0,99.0,106.0,110.0,114.0,118.0,117.0,117.0,114.0,132.0,149.0,135.0,132.0,125.0,116.0,123.0,124.0,125.0
         Vocational Rehabilitation,8.0,9.0,10.0,11.0,12.0,15.0,23.0,30.0,34.0,39.0,49.0,58.0,59.0,58.0,67.0,73.0,81.0,85.0,86.0,88.0,87.0,85.0,88.0,101.0,111.0,118.0,125.0,138.0,148.0,151.0,150.0,160.0,172.0,175.0,182.0,184.0,184.0,196.0,200.0,199.0,201.0,210.0,219.0,221.0,222.0,220.0,235.0,242.0,246.0,256.0,269.0,267.0,264.0,263.0,273.0,272.0
                          Federal  ,5.0,6.0,6.0,7.0,7.0,10.0,16.0,22.0,26.0,30.0,38.0,45.0,46.0,46.0,52.0,57.0,64.0,66.0,66.0,67.0,67.0,64.0,65.0,74.0,84.0,90.0,95.0,106.0,114.0,117.0,115.0,123.0,131.0,131.0,136.0,138.0,137.0,148.0,151.0,151.0,152.0,160.0,168.0,170.0,171.0,170.0,178.0,181.0,188.0,197.0,210.0,209.0,205.0,203.0,211.0,210.0
                          State and Local,3.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,13.0,13.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,21.0,21.0,24.0,26.0,28.0,29.0,30.0,32.0,34.0,34.0,35.0,37.0,41.0,44.0,46.0,46.0,47.0,48.0,49.0,48.0,49.0,50.0,51.0,52.0,51.0,50.0,57.0,61.0,58.0,59.0,59.0,58.0,59.0,60.0,62.0,62.0
         Other Federal Programs*,29.0,39.0,49.0,54.0,52.0,52.0,31.0,14.0,18.0,29.0,53.0,93.0,119.0,149.0,204.0,184.0,155.0,179.0,242.0,299.0,419.0,504.0,469.0,550.0,515.0,540.0,558.0,577.0,595.0,590.0,660.0,715.0,782.0,809.0,858.0,874.0,898.0,931.0,979.0,1094.0,1256.0,1529.0,1673.0,1821.0,1913.0,1990.0,1982.0,2188.0,2288.0,2367.0,2533.0,3304.0,3728.0,4040.0,4459.0,5172.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,328.0,351.0,410.0,388.0,476.0,454.0,356.0,330.0,330.0,274.0,281.0,355.0,484.0,373.0,717.0,740.0,769.0,829.0,914.0,982.0,743.0,644.0,635.0,785.0,864.0,942.0,969.0,985.0,1003.0,1002.0,988.0,983.0,975.0,990.0,951.0,912.0,1062.0,1013.0,1084.0,1079.0
         Other State and Local Programs**,34.0,41.0,46.0,47.0,61.0,74.0,41.0,17.0,15.0,16.0,13.0,16.0,15.0,16.0,16.0,18.0,18.0,19.0,23.0,21.0,22.0,23.0,24.0,25.0,24.0,24.0,26.0,27.0,30.0,31.0,30.0,32.0,34.0,26.0,25.0,32.0,34.0,36.0,34.0,31.0,30.0,39.0,52.0,53.0,55.0,56.0,58.0,59.0,61.0,61.0,62.0,64.0,66.0,69.0,70.0,73.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
